label,Customer_counts,Avg_Recency,Avg_Frequency,Avg_Monetary,Total_Monetary
High Spend Inactive Customers,20428,68.26889563344429,1.0,925.9800031411135,18915919.504166666
High-Spend Recent Buyers,17326,25.56123744661203,1.0,987.2837219855253,17105677.76712121
Low Value Customers,41239,68.15790877567352,1.0,478.6745788496943,19740060.95718254
Loyal Mid Value Customers,6193,47.52930728241563,2.0897787824963667,1288.042265307221,7976845.749047619
New Budget Customers,34518,21.662234196651024,1.0,521.7621279104271,18010185.131212123
VIP Loyal Customers ,635,45.40787401574803,3.8771653543307085,2767.8711909761278,1757598.2062698412
